,Actual_Price,Predicted_Price,Date
3063,284.82000732421875,285.0160327649948,2022-02-19
3064,277.70001220703125,277.8738891310166,2022-02-20
3065,275.6099853515625,274.63322174654894,2022-02-21
3066,277.1600036621094,272.22581381083063,2022-02-22
3067,270.2099914550781,273.7310075526293,2022-02-23
3068,274.4200134277344,270.41168264313455,2022-02-24
3069,283.70001220703125,281.63355480035744,2022-02-25
3070,289.260009765625,286.95804584243285,2022-02-26
3071,299.67999267578125,297.9588999843171,2022-02-27
3072,304.4200134277344,303.81500346709737,2022-02-28
3073,292.1300048828125,294.4099660337387,2022-03-01
3074,302.6099853515625,303.67627074465605,2022-03-02
3075,303.75,306.8024492759601,2022-03-03
3076,303.3500061035156,299.76775006444564,2022-03-04
3077,309.07000732421875,306.66853547849655,2022-03-05
3078,308.7300109863281,310.9057901843346,2022-03-06
3079,300.79998779296875,307.506732518363,2022-03-07
3080,288.5899963378906,291.3052884093739,2022-03-08
3081,275.3299865722656,276.91961214539623,2022-03-09
3082,276.010009765625,281.3730992577818,2022-03-10
3083,282.94000244140625,283.335795722007,2022-03-11
3084,287.8099975585937,284.1211970718708,2022-03-12
3085,268.2099914550781,271.94187174329426,2022-03-13
3086,265.25,271.6897646028968,2022-03-14
3087,242.3999938964844,245.7214592524483,2022-03-15
3088,249.44000244140625,250.80129015361172,2022-03-16
3089,240.80999755859372,238.30504256013387,2022-03-17
3090,238.1300048828125,240.78820288145286,2022-03-18
3091,223.07000732421875,226.19737070447357,2022-03-19
3092,222.9600067138672,222.46133561451722,2022-03-20
3093,216.5,220.89660111392678,2022-03-21
3094,217.2400054931641,215.83880303812808,2022-03-22
3095,221.72000122070312,220.02744380144037,2022-03-23
3096,204.9900054931641,212.92979963824115,2022-03-24
3097,219.3500061035156,219.9773964564627,2022-03-25
3098,220.19000244140625,221.28417314776328,2022-03-26
3099,222.0399932861328,220.60953503126126,2022-03-27
3100,207.27999877929688,210.37926621220302,2022-03-28
3101,214.44000244140625,211.73624115192263,2022-03-29
3102,211.25,207.74203156469468,2022-03-30
3103,222.4199981689453,222.62452277518327,2022-03-31
3104,224.63999938964844,228.33234536827058,2022-04-01
3105,225.08999633789065,228.37396688224163,2022-04-02
3106,228.5200042724609,222.15149964578166,2022-04-03
3107,227.5399932861328,226.09977213930762,2022-04-04
3108,227.82000732421875,232.07638509097367,2022-04-05
3109,214.97999572753903,219.91131581491283,2022-04-06
3110,215.30999755859372,219.04763967321293,2022-04-07
3111,207.47000122070312,210.7338271730136,2022-04-08
3112,197.0800018310547,200.60033504946597,2022-04-09
3113,191.3000030517578,189.8011222286529,2022-04-10
3114,177.58999633789062,186.34028265724197,2022-04-11
3115,190.72000122070312,184.01231295046017,2022-04-12
3116,195.97000122070312,193.03793108043203,2022-04-13
3117,190.9499969482422,190.7841480348385,2022-04-14
3118,194.4199981689453,197.366957932111,2022-04-15
3119,186.9199981689453,188.1104178213478,2022-04-16
3120,183.1699981689453,183.39469583925677,2022-04-17
3121,180.19000244140625,179.16221256160088,2022-04-18
3122,167.8699951171875,170.8420994613515,2022-04-19
3123,169.91000366210938,168.5850346676195,2022-04-20
3124,183.1999969482422,181.6640202155663,2022-04-21
3125,182.8600006103516,181.70618069449844,2022-04-22
3126,182.9199981689453,186.6808435747593,2022-04-23
3127,180.8300018310547,181.67561925086287,2022-04-24
3128,194.6999969482422,192.19211414482925,2022-04-25
3129,194.6999969482422,194.73767412432497,2022-04-26
3130,194.8600006103516,194.79913489831242,2022-04-27
3131,182.4499969482422,184.87840064884873,2022-04-28
3132,179.82000732421875,179.1139063486756,2022-04-29
3133,174.0399932861328,176.67329381618077,2022-04-30
3134,173.44000244140625,172.36514661758247,2022-05-01
3135,179.0500030517578,180.9871866577046,2022-05-02
3136,167.82000732421875,171.24283315233427,2022-05-03
3137,160.9499969482422,163.1420836817155,2022-05-04
3138,156.8000030517578,158.34674005351133,2022-05-05
3139,157.6699981689453,159.74931494892473,2022-05-06
3140,150.22999572753906,154.273712018269,2022-05-07
3141,149.8699951171875,149.43955210366818,2022-05-08
3142,137.8000030517578,142.48333931252057,2022-05-09
3143,137.57000732421875,138.3916612714524,2022-05-10
3144,125.3499984741211,127.43894767058588,2022-05-11
3145,123.1500015258789,124.59623404496983,2022-05-12
3146,109.0999984741211,113.56121281513646,2022-05-13
3147,112.70999908447266,114.07382708428956,2022-05-14
3148,121.81999969482422,121.00056364427482,2022-05-15
3149,123.18000030517578,123.5472463026677,2022-05-16
